EVT_RIN,LOCATION,ZONE,RUCR
975221,MAIN ST,E7,2120
975153,THOMAS RADDALL DR,W4,2142
975047,ST MARGARETS BAY RD,BLT,1430
975427,DAVISON ST,C4,2142
975081,ALBRO LAKE RD,E5,1430
975019,PRIMROSE ST,E5,1420
975259,BAYVIEW RD,W5,2142
975193,THOMAS RADDALL DR,W4,1430
975005,BROWNLOW AVE,E6,1430
975084,TAYLOR LAKE DR,HAM,1420
975046,JAMIESON ST,E5,1430
975718,CARIBOU RD,MSA,2142
975497,GOTTINGEN ST,C4,1430
975385,CONNOR LANE,C5,2120
975245,WINDMILL RD,E6,2135
975212,HILLSIDE AVE,SAC,2142
975236,LIVERPOOL ST,C3,2120
975291,BEAVER BANK RD,SAC,1430
975428,KING ST / QUEEN ST,E3,2142
975369,UPPER WATER ST,C4,1430
975287,DUKE ST,C4,1430
975773,TROLLOPE ST,C4,1430
975327,GAINSBOROUGH PL,C5,1420
975160,KEMPT RD,C5,1460
975217,MCCABE LAKE DR,MSA,2120
975611,ROWE AVE,W3,2142
975570,ALBEMARLE ST / DUKE ST,C4,2142
975514,SHEPHERD RD,W2,1430
975494,TULIP ST,E4,1430
975484,HIGHFIELD PARK DR,E5,1430
975403,BRUNSWICK ST,C4,1420
975394,BARRINGTON ST,C4,1430
975458,HIGHWAY 357,MGR,2135
975416,BARRINGTON ST,C4,1430
975402,BARRINGTON ST,C4,1420
975380,SKYRIDGE AVE,SAC,1430
975462,A ROSEDALE AVE,W3,2142
975541,HERRING COVE RD,W1,1430
975525,MAIN AVE,W3,1430
975411,BLOWERS ST,C4,1430
975547,GREENBOROUGH CRES,COL,2142
975414,PORTLAND ESTATES BLVD WEST,E1,1430
975397,LUCKNOW ST,C1,1430
975444,KEARNEY LAKE RD,W5,1430
975396,CRYSTAL DR,E5,1430
975750,MAIN ST,E1,1420
975660,OLYMPIC CRT,C4,1420
975633,NELSONS LANDING BLVD,W6,1430
975594,HERRING COVE RD / DRYSDALE RD,W1,1430
975683,THOMAS RADDALL DR,W4,2132
975607,KENNEDY DR,E7,2120
975550,SACKVILLE DR,SAC,1430
975675,QUINDORA CRES,FOR,1430
975644,CENTURY ST,SAC,1430
975639,MAIN ST,E1,1420
975638,PRINCE ALBERT RD,E3,1430
975574,HOLLIS ST,C4,2142
975698,THOMAS RADDALL DR,W4,2132
975593,CORONATION AVE,W3,2142
975567,SOUTH PARK ST,C1,1430
975702,HOLLIS ST,C1,2142
975701,STOKIL DR,SAC,2120
975590,CORONATION AVE,W3,2142
975616,HOLLIS ST,C1,1430
975604,CONRADS RD,HUB,2120
975573,UPPER WATER ST,C4,2132
975562,BRUNSWICK ST,C4,1430
975915,JOHNSON RD,HUB,2142
975909,KAYE ST,SAC,2142
975755,SHEPPARDS RUN,BLT,1430
975686,LYONS AVE,W1,1420
975840,BLOOMFIELD ST / GOTTINGEN ST,C5,2120
975838,FARNHAM GATE RD,W4,2120
975758,BAKER DR,E2,1610
976028,CONRADS RD,HUB,2142
975968,CONRADS RD,HUB,2142
975841,DOC AVE,ECH,1430
975704,CHAMEAU CRES,FOR,2142
975749,COBEQUID RD,SAC,2120
976092,HIGHWAY 2,FAL,2120
976085,HERRING COVE RD,W1,1430
975991,LARRY UTECK BLVD,W6,2120
976066,PRINCE ALBERT RD / COTTAGE HILL DR,E3,1420
976036,FINNIAN ROW,E6,1610
975983,CONRADS BRANCH DR,HUB,2120
975973,LOGGEN RD,SAC,1430
975920,SATURN DR,SAC,1430
975917,RIDDING RD,PAS,1430
975904,LAKEVIEW AVE,MSA,2142
